iter	RMSE
2075	66427.06463
2076	66411.48133
2077	66403.16835
2078	66388.4362
2079	66383.01456
2080	66371.22169
2081	66360.96974
2082	66348.99158
2083	66335.40862
2084	66317.42079
2085	66304.30376
2086	66291.99774
2087	66277.24138
2088	66269.80497
2089	66264.94921
2090	66251.77464
2091	66244.61928
2092	66235.52102
2093	66233.47522
2094	66221.89298
2095	66209.84539
2096	66199.59254
2097	66191.90078
2098	66182.72346
2099	66180.08169
2100	66169.76437
2101	66159.48547
2102	66148.43994
2103	66136.77575
2104	66124.16153
2105	66110.29488
2106	66102.22452
2107	66092.69616
2108	66078.34089
2109	66063.86908
2110	66052.96393
2111	66041.49618
2112	66027.07595
2113	66013.93342
2114	66000.49293
2115	65993.3582
2116	65982.22641
2117	65972.84127
2118	65961.68453
2119	65946.69041
2120	65928.65283
2121	65917.33146
2122	65907.12144
2123	65896.1298
2124	65878.39058
2125	65865.76091
2126	65848.26786
2127	65835.3689
2128	65820.97263
2129	65807.52245
2130	65798.86599
2131	65785.90699
2132	65770.72972
2133	65759.14537
2134	65753.3246
2135	65734.45494
2136	65722.66566
2137	65713.41367
2138	65698.77999
2139	65686.19609
2140	65675.9758
2141	65664.67801
2142	65651.21448
2143	65634.92269
2144	65625.42852
2145	65614.89638
2146	65601.00067
2147	65588.02165
2148	65578.31741
2149	65555.10291
2150	65544.56018
2151	65536.05118
2152	65526.22245
2153	65520.56586
2154	65510.70485
2155	65489.61235
2156	65476.20278
2157	65465.18002
2158	65453.92331
2159	65446.75896
2160	65436.70632
2161	65424.33019
2162	65411.72482
2163	65398.00489
2164	65389.48233
2165	65376.85336
2166	65364.30553
2167	65350.82491
2168	65343.2571
2169	65326.29357
2170	65314.91099
2171	65304.82509
2172	65293.78936
2173	65281.28608
2174	65276.61163
2175	65261.36012
2176	65250.95577
2177	65249.03768
2178	65237.96417
2179	65234.22353
2180	65222.11278
2181	65205.53871
2182	65194.67792
2183	65193.6112
2184	65178.89151
2185	65167.52479
2186	65157.33711
2187	65143.99362
2188	65129.74013
2189	65117.86787
2190	65104.43401
2191	65089.84646
2192	65084.54182
2193	65075.47649
2194	65063.94641
2195	65049.90522
2196	65031.04974
2197	65020.74309
2198	65010.72736
2199	64995.40759
2200	64987.47044
2201	64979.22327
2202	64967.54738
2203	64960.65158
2204	64955.3591
2205	64946.80016
2206	64931.21005
2207	64924.1869
2208	64915.85342
2209	64905.5012
2210	64896.48636
2211	64888.66668
2212	64880.39615
2213	64872.30155
2214	64859.69481
2215	64848.53501
2216	64833.19806
2217	64828.71542
2218	64816.56028
2219	64809.87319
2220	64796.30017
2221	64787.15933
2222	64774.39094
2223	64773.57274
2224	64773.29828
2225	64769.27852
2226	64757.41393
2227	64746.77725
2228	64738.41373
2229	64725.5156
2230	64707.29273
2231	64693.91644
2232	64682.07815
2233	64678.21728
2234	64668.72543
2235	64654.6438
2236	64644.17205
2237	64633.04052
2238	64623.52551
2239	64601.74187
2240	64591.88483
2241	64587.47148
2242	64583.66258
2243	64569.65301
2244	64560.43571
2245	64551.63356
2246	64547.16327
2247	64536.41783
2248	64526.33865
2249	64515.14159
2250	64503.57951
2251	64499.55698
2252	64499.29396
2253	64491.32565
2254	64481.82736
2255	64467.33214
2256	64460.90999
2257	64449.64268
2258	64445.96008
2259	64432.63345
2260	64419.96079
2261	64419.70268
2262	64409.18302
2263	64400.83287
2264	64394.5493
2265	64385.73641
2266	64374.90266
2267	64367.82509
2268	64356.91099
2269	64346.95932
2270	64334.22899
2271	64328.39012
2272	64315.34756
2273	64306.84049
2274	64297.25165
2275	64290.23702
2276	64281.79939
2277	64278.06224
2278	64272.49546
2279	64268.81761
2280	64260.04314
2281	64252.8127
2282	64242.38229
2283	64228.02515
2284	64214.52417
2285	64206.76044
2286	64194.0208
2287	64184.96172
2288	64173.45918
2289	64164.35026
2290	64156.34338
2291	64147.73626
2292	64135.65784
2293	64123.11264
2294	64113.71747
2295	64108.53901
2296	64093.95811
2297	64089.81684
2298	64079.81594
2299	64072.15656
2300	64071.91176
2301	64068.71243
2302	64060.70509
2303	64048.08699
2304	64035.34965
2305	64021.81525
2306	64001.89811
2307	63990.43318
2308	63983.75275
2309	63978.20165
2310	63966.66061
2311	63953.82067
2312	63951.42873
2313	63942.22384
2314	63927.39126
2315	63913.62919
2316	63905.50415
2317	63894.44405
2318	63884.6182
2319	63881.19877
2320	63876.75144
2321	63865.08531
2322	63852.50129
2323	63841.25385
2324	63827.77387
2325	63812.47755
2326	63800.82544
2327	63793.3396
2328	63783.98326
2329	63767.18779
2330	63762.94228
2331	63748.4757
2332	63734.83284
2333	63728.36361
2334	63724.68009
